restaurant_url,weekday,hour_24,hour_label,index,value,busyness_percent
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,19,7 PM,70,57% busy at 7 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,20,8 PM,71,42% busy at 8 PM.,42
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,21,9 PM,72,52% busy at 9 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,22,10 PM,73,33% busy at 10 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,23,11 PM,74,42% busy at 11 PM.,42
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,0,12 AM,75,33% busy at 12 AM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,6,6 AM,76,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,7,7 AM,77,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,8,8 AM,78,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,9,9 AM,79,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,10,10 AM,80,38% busy at 10 AM.,38
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,11,11 AM,81,23% busy at 11 AM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,12,12 PM,82,14% busy at 12 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,13,1 PM,83,9% busy at 1 PM.,9
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,14,2 PM,84,23% busy at 2 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,15,3 PM,85,28% busy at 3 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,16,4 PM,86,14% busy at 4 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,17,5 PM,87,14% busy at 5 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,18,6 PM,88,14% busy at 6 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,19,7 PM,89,23% busy at 7 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,20,8 PM,90,23% busy at 8 PM.,23
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,21,9 PM,91,28% busy at 9 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,22,10 PM,92,28% busy at 10 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,23,11 PM,93,33% busy at 11 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,0,12 AM,94,47% busy at 12 AM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,6,6 AM,95,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,7,7 AM,96,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,8,8 AM,97,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,9,9 AM,98,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Thursday,10,10 AM,99,42% busy at 10 AM.,42
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,11,11 AM,100,61% busy at 11 AM.,61
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,12,12 PM,101,52% busy at 12 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,13,1 PM,102,57% busy at 1 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,14,2 PM,103,66% busy at 2 PM.,66
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,15,3 PM,104,61% busy at 3 PM.,61
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,16,4 PM,105,52% busy at 4 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,17,5 PM,106,52% busy at 5 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,18,6 PM,107,52% busy at 6 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,19,7 PM,108,57% busy at 7 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,20,8 PM,109,52% busy at 8 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,21,9 PM,110,57% busy at 9 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,22,10 PM,111,47% busy at 10 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,23,11 PM,112,42% busy at 11 PM.,42
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,0,12 AM,113,42% busy at 12 AM.,42
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,1,1 AM,114,61% busy at 1 AM.,61
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,6,6 AM,115,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,7,7 AM,116,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,8,8 AM,117,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,9,9 AM,118,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Friday,10,10 AM,119,57% busy at 10 AM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,11,11 AM,120,52% busy at 11 AM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,12,12 PM,121,52% busy at 12 PM.,52
